CodePoint,LongName
0xF820,\[FormalCapitalG]
0xF836,\[FormalCapitalGamma]
0xF821,\[FormalCapitalH]
0xF822,\[FormalCapitalI]
0xF83C,\[FormalCapitalIota]
0xF823,\[FormalCapitalJ]
0xF824,\[FormalCapitalK]
0xF83D,\[FormalCapitalKappa]
0xF881,\[FormalCapitalKoppa]
0xF825,\[FormalCapitalL]
0xF83E,\[FormalCapitalLambda]
0xF826,\[FormalCapitalM]
0xF83F,\[FormalCapitalMu]
0xF827,\[FormalCapitalN]
0xF840,\[FormalCapitalNu]
0xF828,\[FormalCapitalO]
0xF84C,\[FormalCapitalOmega]
0xF842,\[FormalCapitalOmicron]
0xF829,\[FormalCapitalP]
0xF849,\[FormalCapitalPhi]
0xF843,\[FormalCapitalPi]
0xF84B,\[FormalCapitalPsi]
0xF82A,\[FormalCapitalQ]
0xF82B,\[FormalCapitalR]
0xF844,\[FormalCapitalRho]
0xF82C,\[FormalCapitalS]
0xF883,\[FormalCapitalSampi]
0xF846,\[FormalCapitalSigma]
0xF87D,\[FormalCapitalStigma]
0xF82D,\[FormalCapitalT]
0xF847,\[FormalCapitalTau]
0xF83B,\[FormalCapitalTheta]
0xF82E,\[FormalCapitalU]
0xF848,\[FormalCapitalUpsilon]
0xF82F,\[FormalCapitalV]
0xF830,\[FormalCapitalW]
0xF831,\[FormalCapitalX]
0xF841,\[FormalCapitalXi]
0xF832,\[FormalCapitalY]
0xF833,\[FormalCapitalZ]
0xF839,\[FormalCapitalZeta]
0xF86A,\[FormalChi]
0xF875,\[FormalCurlyCapitalUpsilon]
0xF858,\[FormalCurlyEpsilon]
0xF885,\[FormalCurlyKappa]
0xF869,\[FormalCurlyPhi]
0xF879,\[FormalCurlyPi]
0xF886,\[FormalCurlyRho]
0xF874,\[FormalCurlyTheta]
0xF803,\[FormalD]
0xF857,\[FormalDelta]
0xF880,\[FormalDigamma]
0xF804,\[FormalE]
0xF88A,\[FormalEpsilon]
0xF85A,\[FormalEta]
0xF805,\[FormalF]
0xF865,\[FormalFinalSigma]
0xF806,\[FormalG]
0xF856,\[FormalGamma]
0xF807,\[FormalH]
0xF808,\[FormalI]
0xF85C,\[FormalIota]
0xF809,\[FormalJ]
0xF80A,\[FormalK]
0xF85D,\[FormalKappa]
0xF882,\[FormalKoppa]
0xF80B,\[FormalL]
0xF85E,\[FormalLambda]
0xF80C,\[FormalM]
0xF85F,\[FormalMu]
0xF80D,\[FormalN]
0xF860,\[FormalNu]
0xF80E,\[FormalO]
0xF86C,\[FormalOmega]
0xF862,\[FormalOmicron]
0xF80F,\[FormalP]
0xF878,\[FormalPhi]
0xF863,\[FormalPi]
0xF86B,\[FormalPsi]
0xF810,\[FormalQ]
0xF811,\[FormalR]
0xF864,\[FormalRho]
0xF812,\[FormalS]
0xF884,\[FormalSampi]
0xF866,\[FormalSigma]
0xF87E,\[FormalStigma]
0xF813,\[FormalT]
0xF867,\[FormalTau]
0xF85B,\[FormalTheta]
0xF814,\[FormalU]
0xF868,\[FormalUpsilon]
0xF815,\[FormalV]
